ferrous_debris,soot_in_oil,cylinder_head_temp,exhaust_gas_temp,bearing_temp,engine_vibration,knock_sensor,crankshaft_vibration,oil_temperature,injector_pressure,oil_pressure,coolant_pressure,mass_air_flow,oxygen_sensor,egr_flow,RUL
49.8,135.167,117.589,686.189,107.078,7.891,81.527,223.53542365274149,110.275,11.532,0.221,0.142,3.397,0.904,17.604,715
10.431,89.905,106.824,618.227,64.047,0.848,31.738,708.2064839782528,52.857,3.934,0.033,0.192,1.122,0.716,11.459,817
1.373,86.456,82.184,502.018,59.749,2.351,3.113,509.68072385685036,49.656,6.868,0.061,0.202,1.276,0.592,5.857,903
9.68,17.845,90.99,448.539,30.908,1.717,10.373,335.986870517111,69.168,9.698,0.056,0.222,1.26,0.168,13.407,977
14.939,13.444,99.564,433.857,38.156,1.324,37.06,331.2506002758974,89.209,8.437,0.09,0.227,2.371,0.597,14.837,918
29.65,113.421,126.724,773.42,86.448,5.78,81.833,966.8103614474308,118.67,10.523,0.276,0.111,4.125,0.937,15.027,610
11.468,20.527,72.153,569.105,59.036,2.103,32.89,486.20701801333155,38.281,9.089,0.027,0.223,1.742,0.36,2.52,914
11.82,20.166,106.365,478.714,71.441,0.117,49.031,524.0037036051353,70.026,7.256,0.097,0.182,2.026,0.432,1.802,824
18.428,15.405,104.806,420.512,81.481,1.577,32.308,435.4899511787371,72.793,3.451,0.068,0.18,2.461,0.433,14.454,956
11.82,89.627,102.561,301.013,83.3,0.193,31.863,486.20326052116036,30.639,4.65,0.019,0.221,2.916,0.079,0.527,897
100.0,140.0,130.0,850.0,110.0,10.0,92.364,1023.8901856487882,122.961,20.0,0.462,0.045,5.152,0.873,20.0,5
100.0,140.0,130.0,850.0,110.0,10.0,96.835,182.76916944895004,129.443,20.0,0.487,0.27,7.17,0.053,20.0,27
100.0,140.0,130.0,850.0,110.0,10.0,89.476,63.00509458322457,127.07,20.0,0.336,0.264,6.363,0.521,20.0,27
20.987,127.758,113.051,650.097,89.86,8.671,80.915,900.7808739535856,119.912,16.49,0.24,0.123,4.185,0.916,18.215,509
4.033,11.617,78.163,511.988,54.704,4.403,68.425,303.34651845040395,39.511,7.777,0.004,0.17,1.854,0.52,8.205,935
58.041,130.876,110.638,792.874,91.439,6.173,79.658,217.74681455691953,111.474,12.258,0.221,0.113,3.927,0.904,18.586,453
46.388,117.71,119.286,748.926,100.407,8.656,75.172,226.6959714808799,106.729,18.601,0.233,0.143,3.351,0.919,18.478,630
59.748,132.054,119.299,826.99,107.017,6.301,71.484,920.4462966096204,116.363,18.367,0.205,0.107,4.06,0.917,16.096,729
18.669,12.441,98.732,361.101,81.625,3.018,41.373,316.6256978325607,59.55,8.778,0.093,0.215,1.492,0.11,6.614,902
3.274,31.998,90.108,328.249,77.085,4.477,24.84,716.7894971164583,19.886,4.533,0.069,0.198,1.423,0.563,3.115,908
69.253,118.014,116.714,681.214,93.286,8.22,81.952,223.07579773806157,113.149,13.215,0.284,0.127,3.568,0.936,17.85,531
13.651,84.104,106.016,334.459,73.007,2.039,46.984,590.1118484270171,21.858,6.984,0.098,0.184,1.068,0.075,2.342,891
14.983,39.588,99.516,559.595,70.272,0.808,10.683,286.5633870245629,33.071,6.647,0.018,0.17,1.542,0.547,1.463,903
61.832,127.597,126.216,688.155,108.071,5.536,83.504,215.81313986419917,110.374,11.444,0.256,0.119,3.471,0.946,17.884,600
10.016,73.839,75.33,255.268,61.191,1.674,3.299,670.5950785420591,32.053,8.678,0.087,0.167,0.865,0.761,6.686,936
5.667,6.001,75.382,524.784,30.598,3.075,13.316,454.58291683102414,69.371,5.365,0.099,0.221,2.246,0.405,14.243,986
8.848,85.091,83.743,328.174,56.569,2.137,29.845,895.422821977618,35.311,4.924,0.005,0.169,1.539,0.363,5.307,857
57.519,121.236,128.417,767.172,98.022,5.306,75.309,910.1692676207714,110.735,15.92,0.284,0.112,3.644,0.946,18.394,696
7.697,34.894,78.879,482.72,77.499,3.372,41.021,301.4112375700685,60.792,2.302,0.002,0.231,0.996,0.742,0.402,926
100.0,140.0,130.0,850.0,110.0,10.0,95.269,1087.283119363363,127.294,20.0,0.47,0.026,9.036,0.368,20.0,48
17.328,59.946,70.638,260.837,45.017,0.151,0.144,844.2697801455776,53.994,4.654,0.064,0.17,2.655,0.515,5.041,987
14.908,89.435,103.417,595.758,47.55,0.807,17.326,825.7633638346061,12.744,8.173,0.049,0.223,1.797,0.301,11.301,986
16.057,41.584,96.598,647.461,58.311,1.974,25.614,433.1796138941487,80.171,6.469,0.068,0.208,0.98,0.706,12.695,831
15.94,79.634,84.92,569.454,79.389,2.795,42.167,357.6716855610649,39.096,6.35,0.097,0.191,1.737,0.786,14.318,956
18.879,49.219,107.409,545.686,52.413,3.175,57.897,393.7340573219774,13.971,6.082,0.008,0.199,0.888,0.05,3.026,959
38.703,105.736,122.692,751.52,100.459,8.829,77.321,244.07797368943324,116.662,14.242,0.209,0.138,3.976,0.906,18.644,535
90.091,132.737,123.92,653.736,87.273,7.374,77.016,218.70486749284694,119.541,15.85,0.201,0.108,4.107,0.934,18.774,488
75.972,101.883,124.058,844.311,103.1,8.29,82.141,941.8523861707224,116.852,17.015,0.255,0.119,4.081,0.911,18.301,403
96.313,101.411,113.292,736.825,98.797,7.112,79.06,232.9610594157759,115.678,10.975,0.247,0.143,3.754,0.933,18.985,314
100.0,140.0,130.0,850.0,110.0,10.0,92.843,1024.1493023966536,121.96,20.0,0.464,0.084,7.461,0.11,20.0,82
9.379,71.013,100.717,347.737,76.763,0.248,60.877,710.0659404941332,63.986,2.938,0.063,0.213,2.554,0.131,12.471,951
100.0,140.0,130.0,850.0,110.0,10.0,92.54,143.55770776753673,124.359,20.0,0.411,0.282,5.346,0.851,20.0,44
100.0,140.0,130.0,850.0,110.0,10.0,94.796,1009.2565573831847,124.883,20.0,0.398,0.056,5.13,0.679,20.0,194
100.0,140.0,130.0,850.0,110.0,10.0,92.562,163.45822749131037,125.452,20.0,0.393,0.074,8.282,0.832,20.0,190
1.921,20.776,102.792,343.062,72.058,1.478,17.757,586.9668652069927,11.353,3.758,0.024,0.221,0.863,0.494,1.088,932
16.911,67.98,82.203,602.301,84.623,4.247,63.11,840.1928370770167,11.065,1.827,0.007,0.192,1.725,0.72,12.869,922
86.213,126.268,119.075,697.184,103.511,5.375,75.76,231.75472601586205,103.096,13.375,0.253,0.115,4.191,0.901,15.127,519
